#;region;lat;lng;price_by_meter;residents;occupied_private_housing;residents_per_household;delegacy;hospital;ubs;upa;school;market;shopping;university;bank
78;Centro;-23.143691014634147;-46.48765187398373;3816.1721931355437;1173;372;3.2;0;0;0;0;0;0;0;0;0
79;Centro;-23.143691014634147;-46.48765187398373;996.7416096448354;537;181;3.0;0;0;0;0;0;0;1;0;2
80;Centro;-23.143691014634147;-46.48765187398373;7709.495591848534;3762;1249;3.0;0;0;0;0;0;0;0;0;0
81;Centro;-23.143691014634147;-46.48765187398373;3418.6046511627906;1134;369;3.1;1;0;1;0;0;2;0;0;3
82;Centro;-23.143691014634147;-46.48765187398373;4397.905759162304;2386;1009;2.4;0;0;0;0;1;0;0;0;1
83;Centro;-23.143691014634147;-46.48765187398373;3622.4849094567403;3332;1370;2.4;1;1;0;0;3;3;0;1;5
84;Centro;-23.143691014634147;-46.48765187398373;4070.610687022901;610;203;3.0;0;0;0;0;1;0;0;0;0
85;Centro;-23.143691014634147;-46.48765187398373;8234.74736795736;3722;1303;2.9;0;0;0;0;0;0;0;0;0
86;Centro;-23.143691014634147;-46.48765187398373;7712.057079013384;5962;2001;3.0;2;0;0;0;8;0;0;2;5
87;Centro;-23.143691014634147;-46.48765187398373;6883.196721311476;900;375;2.4;0;0;0;0;0;0;0;0;1
88;Centro;-23.143691014634147;-46.48765187398373;4448.283752860412;2854;1098;2.6;0;0;0;0;1;0;0;1;0
89;Centro;-23.143691014634147;-46.48765187398373;3524.7093023255816;442;143;3.1;0;0;0;0;0;0;0;0;0
